state_fips,drought_lvl,area_pct,time_range
1,D0,16.710047892720308,2001-2021
1,D1,8.803429118773947,2001-2021
1,D2,5.459348659003831,2001-2021
1,D3,3.260383141762452,2001-2021
1,D4,2.075038314176245,2001-2021
1,None,63.69175287356322,2001-2021
2,D0,16.433678160919538,2001-2021
2,D1,1.0401628352490422,2001-2021
2,D2,0.1440708812260536,2001-2021
2,D3,0.0204980842911877,2001-2021
2,D4,0.0,2001-2021
2,None,82.36140804597702,2001-2021
4,D0,19.13653256704981,2001-2021
4,D1,23.784588122605363,2001-2021
4,D2,20.758994252873563,2001-2021
4,D3,12.896053639846745,2001-2021
4,D4,3.486772030651341,2001-2021
4,None,19.936494252873565,2001-2021
5,D0,15.087164750957854,2001-2021
5,D1,9.348908045977012,2001-2021
5,D2,5.668860153256705,2001-2021
5,D3,2.154003831417625,2001-2021
5,D4,0.4465708812260536,2001-2021
5,None,67.29456896551724,2001-2021
6,D0,15.892605363984677,2001-2021
6,D1,17.381082375478925,2001-2021
6,D2,16.011561302681994,2001-2021
6,D3,8.71241379310345,2001-2021
6,D4,5.662289272030652,2001-2021
6,None,36.3397030651341,2001-2021
8,D0,20.772892720306515,2001-2021
8,D1,14.230526819923371,2001-2021
8,D2,13.164731800766283,2001-2021
8,D3,10.701503831417623,2001-2021
8,D4,2.7215996168582373,2001-2021
8,None,38.40889846743295,2001-2021
9,D0,16.381551724137932,2001-2021
9,D1,8.438285440613026,2001-2021
9,D2,4.083036398467432,2001-2021
9,D3,0.755411877394636,2001-2021
9,D4,0.0,2001-2021
9,None,70.3416091954023,2001-2021
10,D0,12.043275862068963,2001-2021
10,D1,6.48191570881226,2001-2021
10,D2,3.9643582375478927,2001-2021
10,D3,1.1439176245210727,2001-2021
10,D4,0.1303448275862068,2001-2021
10,None,76.23607279693488,2001-2021
12,D0,17.21396551724138,2001-2021
12,D1,8.953180076628353,2001-2021
12,D2,4.643218390804599,2001-2021
12,D3,1.814913793103448,2001-2021
12,D4,0.1829597701149425,2001-2021
12,None,67.19208812260536,2001-2021
13,D0,16.996618773946363,2001-2021
13,D1,10.89169540229885,2001-2021
13,D2,8.127174329501916,2001-2021
13,D3,6.773285440613027,2001-2021
13,D4,2.3000766283524907,2001-2021
13,None,54.91112068965517,2001-2021
15,D0,28.26451149425288,2001-2021
15,D1,17.039722222222224,2001-2021
15,D2,8.0519061302682,2001-2021
15,D3,2.2433045977011496,2001-2021
